"date","weekday","n","resid"
2014-04-01,"Tuesday",14546,-10038.7777777778
2014-04-02,"Wednesday",17474,-9314.00000000001
2014-04-03,"Thursday",20701,-8343.03846153846
2014-04-04,"Friday",26714,-1791.34615384615
2014-04-05,"Saturday",19521,-5329.53846153848
2014-04-06,"Sunday",13445,-5408.07692307694
2014-04-07,"Monday",19550,-1275.84615384617
2014-04-08,"Tuesday",16188,-8396.77777777778
2014-04-09,"Wednesday",16843,-9945.00000000001
2014-04-10,"Thursday",20041,-9003.03846153846
2014-04-11,"Friday",20420,-8085.34615384615
2014-04-12,"Saturday",18170,-6680.53846153848
2014-04-13,"Sunday",12112,-6741.07692307694
2014-04-14,"Monday",12674,-8151.84615384617
2014-04-15,"Tuesday",20641,-3943.77777777778
2014-04-16,"Wednesday",17717,-9071.00000000001
2014-04-17,"Thursday",20973,-8071.03846153846
2014-04-18,"Friday",18074,-10431.3461538461
2014-04-19,"Saturday",14602,-10248.5384615385
2014-04-20,"Sunday",11017,-7836.07692307694
2014-04-21,"Monday",13162,-7663.84615384617
2014-04-22,"Tuesday",16975,-7609.77777777778
2014-04-23,"Wednesday",20346,-6442.00000000001
2014-04-24,"Thursday",23352,-5692.03846153846
2014-04-25,"Friday",25095,-3410.34615384615
2014-04-26,"Saturday",24925,74.4615384615208
2014-04-27,"Sunday",14677,-4176.07692307694
2014-04-28,"Monday",15475,-5350.84615384617
2014-04-29,"Tuesday",22835,-1749.77777777778
2014-04-30,"Wednesday",36251,9462.99999999999
2014-05-01,"Thursday",23375,-5669.03846153846
2014-05-02,"Friday",24235,-4270.34615384615
2014-05-03,"Saturday",22234,-2616.53846153848
2014-05-04,"Sunday",13918,-4935.07692307694
2014-05-05,"Monday",17859,-2966.84615384617
2014-05-06,"Tuesday",19300,-5284.77777777778
2014-05-07,"Wednesday",21891,-4897.00000000001
2014-05-08,"Thursday",27513,-1531.03846153846
2014-05-09,"Friday",26385,-2120.34615384615
2014-05-10,"Saturday",22550,-2300.53846153848
2014-05-11,"Sunday",14901,-3952.07692307694
2014-05-12,"Monday",17470,-3355.84615384617
2014-05-13,"Tuesday",19498,-5086.77777777778
2014-05-14,"Wednesday",22218,-4570.00000000001
2014-05-15,"Thursday",26301,-2743.03846153846
2014-05-16,"Friday",32493,3987.65384615385
2014-05-17,"Saturday",22294,-2556.53846153848
2014-05-18,"Sunday",16508,-2345.07692307694
2014-05-19,"Monday",18315,-2510.84615384617
2014-05-20,"Tuesday",20860,-3724.77777777778
2014-05-21,"Wednesday",23508,-3280.00000000001
2014-05-22,"Thursday",26802,-2242.03846153846
2014-05-23,"Friday",26465,-2040.34615384615
2014-05-24,"Saturday",14651,-10199.5384615385
2014-05-25,"Sunday",10841,-8012.07692307694
2014-05-26,"Monday",10202,-10623.8461538462
2014-05-27,"Tuesday",17004,-7580.77777777778
2014-05-28,"Wednesday",22240,-4548.00000000001
2014-05-29,"Thursday",24930,-4114.03846153846
2014-05-30,"Friday",24413,-4092.34615384615
2014-05-31,"Saturday",21261,-3589.53846153848
2014-06-01,"Sunday",15967,-2886.07692307694
2014-06-02,"Monday",17503,-3322.84615384617
2014-06-03,"Tuesday",22674,-1910.77777777778
2014-06-04,"Wednesday",22831,-3957.00000000001
2014-06-05,"Thursday",28371,-673.038461538465
2014-06-06,"Friday",24683,-3822.34615384615
2014-06-07,"Saturday",20889,-3961.53846153848
2014-06-08,"Sunday",15749,-3104.07692307694
2014-06-09,"Monday",23244,2418.15384615383
2014-06-10,"Tuesday",22874,-1710.77777777778
2014-06-11,"Wednesday",25716,-1072.00000000001
2014-06-12,"Thursday",29844,799.961538461535
2014-06-13,"Friday",31207,2701.65384615385
2014-06-14,"Saturday",19327,-5523.53846153848
2014-06-15,"Sunday",14511,-4342.07692307694
2014-06-16,"Monday",17778,-3047.84615384617
2014-06-17,"Tuesday",21807,-2777.77777777778
2014-06-18,"Wednesday",24647,-2141.00000000001
2014-06-19,"Thursday",28594,-450.038461538465
2014-06-20,"Friday",24271,-4234.34615384615
2014-06-21,"Saturday",19940,-4910.53846153848
2014-06-22,"Sunday",16322,-2531.07692307694
2014-06-23,"Monday",17735,-3090.84615384617
2014-06-24,"Tuesday",20779,-3805.77777777778
2014-06-25,"Wednesday",26460,-328.000000000007
2014-06-26,"Thursday",28516,-528.038461538465
2014-06-27,"Friday",24895,-3610.34615384615
2014-06-28,"Saturday",21208,-3642.53846153848
2014-06-29,"Sunday",17107,-1746.07692307694
2014-06-30,"Monday",18395,-2430.84615384617
2014-07-01,"Tuesday",21228,-3356.77777777778
2014-07-02,"Wednesday",26480,-308.000000000007
2014-07-03,"Thursday",21597,-7447.03846153846
2014-07-04,"Friday",14148,-14357.3461538461
2014-07-05,"Saturday",10890,-13960.5384615385
2014-07-06,"Sunday",11443,-7410.07692307694
2014-07-07,"Monday",18280,-2545.84615384617
2014-07-08,"Tuesday",25763,1178.22222222222
2014-07-09,"Wednesday",27817,1028.99999999999
2014-07-10,"Thursday",30541,1496.96153846154
2014-07-11,"Friday",28752,246.653846153851
2014-07-12,"Saturday",25936,1085.46153846152
2014-07-13,"Sunday",21082,2228.92307692306
2014-07-14,"Monday",27350,6524.15384615383
2014-07-15,"Tuesday",33845,9260.22222222222
2014-07-16,"Wednesday",28607,1818.99999999999
2014-07-17,"Thursday",30710,1665.96153846154
2014-07-18,"Friday",29860,1354.65384615385
2014-07-19,"Saturday",25726,875.461538461521
2014-07-20,"Sunday",21212,2358.92307692306
2014-07-21,"Monday",23578,2752.15384615383
2014-07-22,"Tuesday",29029,4444.22222222222
2014-07-23,"Wednesday",34073,7284.99999999999
2014-07-24,"Thursday",32050,3005.96153846154
2014-07-25,"Friday",29975,1469.65384615385
2014-07-26,"Saturday",27708,2857.46153846152
2014-07-27,"Sunday",22590,3736.92307692306
2014-07-28,"Monday",23981,3155.15384615383
2014-07-29,"Tuesday",27589,3004.22222222222
2014-07-30,"Wednesday",30740,3951.99999999999
2014-07-31,"Thursday",33541,4496.96153846154
2014-08-01,"Friday",32353,3847.65384615385
2014-08-02,"Saturday",28678,3827.46153846152
2014-08-03,"Sunday",23146,4292.92307692306
2014-08-04,"Monday",24952,4126.15384615383
2014-08-05,"Tuesday",28094,3509.22222222222
2014-08-06,"Wednesday",30495,3706.99999999999
2014-08-07,"Thursday",32759,3714.96153846154
2014-08-08,"Friday",30411,1905.65384615385
2014-08-09,"Saturday",26286,1435.46153846152
2014-08-10,"Sunday",20584,1730.92307692306
2014-08-11,"Monday",22632,1806.15384615383
2014-08-12,"Tuesday",29646,5061.22222222222
2014-08-13,"Wednesday",29788,2999.99999999999
2014-08-14,"Thursday",30457,1412.96153846154
2014-08-15,"Friday",28974,468.653846153851
2014-08-16,"Saturday",26234,1383.46153846152
2014-08-17,"Sunday",21209,2355.92307692306
2014-08-18,"Monday",21956,1130.15384615383
2014-08-19,"Tuesday",24834,249.222222222223
2014-08-20,"Wednesday",27955,1166.99999999999
2014-08-21,"Thursday",32304,3259.96153846154
2014-08-22,"Friday",29512,1006.65384615385
2014-08-23,"Saturday",27097,2246.46153846152
2014-08-24,"Sunday",22036,3182.92307692306
2014-08-25,"Monday",22093,1267.15384615383
2014-08-26,"Tuesday",24550,-34.7777777777774
2014-08-27,"Wednesday",27018,229.999999999993
2014-08-28,"Thursday",28597,-447.038461538465
2014-08-29,"Friday",27424,-1081.34615384615
2014-08-30,"Saturday",23930,-920.538461538479
2014-08-31,"Sunday",23271,4417.92307692306
2014-09-01,"Monday",19961,-864.846153846174
2014-09-02,"Tuesday",28831,4246.22222222222
2014-09-03,"Wednesday",32631,5842.99999999999
2014-09-04,"Thursday",38360,9315.96153846154
2014-09-05,"Friday",42319,13813.6538461539
2014-09-06,"Saturday",40520,15669.4615384615
2014-09-07,"Sunday",30134,11280.9230769231
2014-09-08,"Monday",30360,9534.15384615383
2014-09-09,"Tuesday",34560,9975.22222222222
2014-09-10,"Wednesday",35910,9121.99999999999
2014-09-11,"Thursday",36439,7394.96153846154
2014-09-12,"Friday",39540,11034.6538461539
2014-09-13,"Saturday",43205,18354.4615384615
2014-09-14,"Sunday",28122,9268.92307692306
2014-09-15,"Monday",29454,8628.15384615383
2014-09-16,"Tuesday",36092,11507.2222222222
2014-09-17,"Wednesday",35531,8742.99999999999
2014-09-18,"Thursday",40274,11229.9615384615
2014-09-19,"Friday",41017,12511.6538461539
2014-09-20,"Saturday",38864,14013.4615384615
2014-09-21,"Sunday",28620,9766.92307692306
2014-09-22,"Monday",28312,7486.15384615383
2014-09-23,"Tuesday",30316,5731.22222222222
2014-09-24,"Wednesday",31301,4512.99999999999
2014-09-25,"Thursday",38203,9158.96153846154
2014-09-26,"Friday",37504,8998.65384615385
2014-09-27,"Saturday",39468,14617.4615384615
2014-09-28,"Sunday",29656,10802.9230769231
2014-09-29,"Monday",29201,8375.15384615383
2014-09-30,"Tuesday",33431,8846.22222222222
